Drug,Y
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,-4.6314525350545885
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,-4.432569935317887
O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,-4.7627379781331625
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,-5.632987341307089
CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,-5.819947170924686
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,-4.650369776249066
COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,-4.309187834768636
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,-5.600880477060148
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-5.804909885511101
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,-4.995055133316653
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,-5.866541710503656
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-4.880788403772585
CN(C)CCC=C1c2ccccc2CCc2ccccc21,-5.976810756278358
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-4.152177857717319
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,-5.466545836566637
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,-5.010241730283566
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,-5.533085340798807
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,-4.860326630567203
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-4.676047132394568
Fc1ccc(Cn2c(NC3CCNCC3)nc3ccccc32)cc1,-4.318193624185871
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,-4.948176972526064
CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,-4.611553625950318
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,-5.456235818978306
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,-5.288116434835896
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,-4.646003584164561
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,-4.3680608887210886
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,-5.78697110932126
Cc1cccc(CCN2CCC(C(=O)c3ccc(NS(C)(=O)=O)cc3)CC2)n1,-5.23027835829947
C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,-5.106436714116813
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,-5.080219609756069
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,-5.518242788186277
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,-5.423775587495456
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,-4.0295815964599475
CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,-4.588195082085347
CN1CCN(CCCCN2C(=O)CN(/N=C/c3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1,-5.684435410091766
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,-4.444316677974275
CN(C)CCCN1c2ccccc2CCc2ccccc21,-5.829912590128451
CN1C(=O)[C@H](NC(=O)C(N)Cc2ccccc2)N=C(c2ccccc2)c2ccccc21,-4.345590214657696
O=C(Cc1ccc(C(F)(F)F)cc1C(F)(F)F)N[C@@H]1N=C(c2ccccc2)c2ccccc2N(CC(F)(F)F)C1=O,-5.448780419826019
CN1C(=O)[C@H](NC(=O)CCC2CCCCC2)N=C(c2ccccc2)c2ccccc21,-4.321971365334659
CN1C(=O)[C@H](NC(=O)/C=C/c2ccc(Cl)cc2Cl)N=C(c2ccccc2)c2ccccc21,-4.004118793814178
O=C(Cc1ccc(Cl)cc1Cl)N[C@@H]1N=C(c2ccccc2)c2ccccc2N(CC(F)(F)F)C1=O,-4.145334733254534
Cc1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c3ccccc3N(C)C2=O)c1,-5.154388932595038
O=C(Cc1cc(Cl)cc(Cl)c1)N[C@@H]1N=C(c2ccccc2)c2ccccc2N(CC(F)(F)F)C1=O,-5.940310055126704
Cc1cccc(NC(=O)N[C@H]2N=C(c3ccccc3)c3ccccc3N(C)C2=O)c1,-5.111274068231755
CN(C)CCN1C(=O)C(NC(=O)CCc2ccc(Cl)cc2Cl)N=C(c2ccccc2)c2ccccc21,-5.95610380183294
O=C1NCCN1CCN1CCC(c2cn(-c3ccccc3)c3ccc(Cl)cc23)CC1,-4.5706395212062185
O=C1NCCN1CCN1CCC(c2cn(C3CCCCC3)c3ccc(Cl)cc23)CC1,-5.933184744177474
CCC(CC)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,-5.434978835394892
O=C1NCCN1CCN1CC=C(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,-4.726843308592485
CC(C)(C)c1ccc2c(ccn2-c2ccc(F)cc2)c1,-4.138543834113025
O=C1NCCN1CCN1CCC(C2CN(c3ccc(F)cc3)c3ccccc32)CC1,-5.601977862713361
O=C(O)Cc1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1,-5.931273952117318
Fc1ccc(-n2cc(C3CCN(CCN4CCN=C4S)CC3)c3ccccc32)cc1,-4.186431735174953
CCC(O)(CC)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,-4.17229422974701
O=C(O)c1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1,-4.9135462414491435
CC(=O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,-4.931773487230665
CCCc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,-4.353376891287339
CCC(O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,-4.071986250756015
CC(C)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,-4.416999496902746
CN(C)Cc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,-5.932073038317478
CCC(=O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,-4.008219285744526
CC(O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,-5.635987997997277
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccccc23)CC1,-4.088458436080653
CCc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,-4.238629919082074
COC(=O)Cc1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1,-4.714849250952616
CS(=O)(=O)Nc1ccc2c(c1)C(O)CC1(CCN(C3CCc4cc(C#N)ccc4C3)CC1)O2,-4.962806933309416
CC(C)(O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,-5.391795016686592
COC(=O)c1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1,-4.146321832704303
Fc1ccc(-n2cc(C3CCNCC3)c3cc(Cl)ccc32)cc1,-4.890440520318364
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],-4.6287578266871545
Oc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,-4.9729499745194525
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,-4.192097045509119
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,-4.605021112290805
CSc1ccc([C@H]2N=C(OCc3ccc(NS(C)(=O)=O)cc3)N(C)Cc3ccccc32)cc1.Cl,-5.057363672297542
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O,-4.094890022344
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,-5.926283447493841
CSc1ccc([C@@H]2N=C(OCc3ccc(NS(C)(=O)=O)cc3)N(C)Cc3ccccc32)cc1.Cl,-4.956008443055788
O=C(O[C@H]1C[C@@H]2C[C@@H]3C[C@@H](C1)N2CC3=O)C1CNc2ccccc21,-5.523905448876725
CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,-5.897513282124104
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,-5.48477491924921
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,-4.110083484414383
CN1Cc2ccccc2[C@@H](c2ccccc2)N=C1OCc1ccc(NS(C)(=O)=O)cc1.O=C(O)/C=C/C(=O)O,-4.96980438413058
CN1Cc2ccccc2[C@H](c2ccc(F)cc2F)N=C1CCc1ccc(NS(C)(=O)=O)cc1.Cl,-4.686549175960357
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,-5.534104643327256
COc1ccc(C(=O)N2CCN(c3ccc4c(c3)CCC(=O)N4)CC2)cc1OC,-4.972168343079407
Cl.OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,-4.299917619593786
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,-4.391493017523835
Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,-5.671368249833171
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,-4.954589663739805
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,-4.630126622315573
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,-5.788016802378884
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,-4.505308701576198
CN(C)CCOC(c1ccccc1)c1ccccc1,-4.4631396597871476
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,-4.769467731276888
CNCCCN1c2ccccc2CCc2ccccc21,-4.242886549471448
CN1CCC[C@H]1c1cccnc1,-5.510105343801734
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,-5.653450574191172
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,-4.250213627474413
CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,-4.493718802940412
COc1ccc(C2CCN(CC[C@H]3CCOc4ccccc43)CC2)cc1OC,-5.521049750886117
COc1ccc(C2CCN(CCC3CCOc4ccccc43)CC2)cc1OC,-5.341628969637087
CN1Cc2ccccc2[C@H](c2ccccc2)N=C1OCc1ccc(NS(C)(=O)=O)cc1.O=C(O)/C=C/C(=O)O,-4.39052409124494
NC1=NCC2c3ccccc3Cc3ccccc3N12,-5.247390146275967
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,-5.958997610560987
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,-5.097862273562244
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,-4.2280730290253015
CN1Cc2ccccc2[C@@H](c2ccc(F)cc2F)N=C1CCc1ccc(NS(C)(=O)=O)cc1.Cl,-4.9914825521665005
O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,-4.043989367237536
Cl.O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,-4.489447920255013
CN(C)CCCn1nc(C2=C(c3cn(-c4ccc5ccccc5c4)c4ccccc34)C(=O)NC2=O)c2ccccc21,-5.599022208440844
CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)COc1cccc(Cl)c1C#N,-4.3102235271370875
CN1CCN(CCCCN2C(=O)CN(/N=C/c3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1.Cl,-4.862000549214745
CN([C@H]1c2cc(OCCCC(F)(F)F)ccc2OC(C)(C)[C@@H]1O)S(C)(=O)=O,-5.383235582266508
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,-5.581989277076216
CCCNCC(O)COc1ccc(O)cc1C(=O)CCc1ccccc1,-5.140582750843237
NCC(O)COc1ccccc1C(=O)CCc1ccccc1,-4.92398756899782
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-4.303969693640302
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-4.714045102853108
Nc1ccncc1,-5.546855340637814
CS(=O)(=O)Nc1ccc2c(c1)C(=O)CC1(CCN(CCc3ccc4nonc4c3)CC1)O2,-4.2066832215807715
CCCCCCCN(CC)CCCCc1ccc([N+](=O)[O-])cc1,-4.641541486725277
COc1ccc(CCN(C)CCCN(C(=O)c2ccc([N+](=O)[O-])cc2)c2ccc(OC)c(OC)c2)cc1OC,-4.258339775389922
CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1,-4.6668297312831655
CCC[S+]([O-])CCCN(CC)CC(O)COc1ccc(C#N)cc1,-5.007483164890797
CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C,-4.115599505938623
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,-4.653869013928582
COc1ccc(CCN(C)CCOc2ccc(NS(C)(=O)=O)cc2N)cc1OC,-5.357929286320831
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,-5.101772238001502
CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,-5.730633110330627
COc1ccc(CCNC(C)COc2c(C)cccc2C)cc1OC,-4.661328723202349
c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,-4.5727480281638675
Cn1c(NCCN(CCO)CCCc2ccc([N+](=O)[O-])cc2)cc(=O)n(C)c1=O,-4.848100652792046
CCN(CC)CC#CCOC(=O)[C@](O)(c1ccccc1)C1CCCCC1,-5.336485604689159
COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3C(Cc3ccccc3)N1CC2,-5.5152629801992115
COc1cc2c(cc1OC)[C@@H](Cc1ccc(Oc3cc(C[C@@H]4c5cc(OC)c(OC)cc5CCN4C)ccc3O)cc1)N(C)CC2,-4.078511497061211
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],-5.7510968035572425
CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,-4.7866664238213374
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-5.262159112331627
CN1Cc2ccccc2[C@@H](c2ccccc2)N=C1CCc1ccccc1,-5.6481433366258
COc1ccc(CCNCCCNC(=O)c2ccc([N+](=O)[O-])cc2)cc1OC,-5.902874279502601
O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,-5.548766480002806
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,-4.659996334057235
OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,-4.983508207894602
CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,-5.268524193173683
CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C2CCCCC2)cc1)C(=O)O.O=C(O)C(F)(F)F,-4.366112665420964
NC(CC(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(=O)O)cc1)Cc1ccc(F)c(F)c1.O=C(O)C(F)(F)F,-5.427403538444736
NC(CC(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(F)(F)F)cc1)Cc1ccccc1F.O=C(O)C(F)(F)F,-5.7937010359041565
CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc2cc(F)ccc2F)cc1)C(=O)O.O=C(O)C(F)(F)F,-4.628846038697688
CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc2c(F)c(F)c(F)c(F)c2F)cc1)C(=O)O.O=C(O)C(F)(F)F,-5.77893905759686
COC(=O)Cc1ccc(CNC(=O)[C@@H]2CSCN2C(=O)CC(N)Cc2ccccc2F)cc1.O=C(O)C(F)(F)F,-5.702332224296716
NCc1ccc(F)c(C2CCN(C(=O)c3cccc(-c4nc(-c5cccs5)no4)c3)CC2)c1,-4.30616086710529
NCc1ccc(F)c(C2CCN(C(=O)c3cc(C(=O)O)cc(-c4nc(-c5cccs5)no4)c3)CC2)c1,-4.847496053629966
NCc1cccc(C2CCN(C(=O)c3cc(C(N)=O)cc(-c4nc(-c5cccs5)no4)c3)CC2)c1,-4.320564679696051
NCc1ccc(F)c(C2CCN(C(=O)c3cc(C(N)=O)cc(-c4nc(-c5cccs5)no4)c3)CC2)c1,-5.13367876844762
C[C@@H](c1ccc(-c2cccc(C(=O)O)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,-5.9623451061794
C[C@@H](c1ccc(-c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,-4.7143754485756055
O=C(O)[C@@H](CC1CCC1)N1C[C@H](CN2CCC(c3cnc4ccccn34)CC2)[C@@H](c2cccc(F)c2)C1,-4.851165393181302
C[C@@H](c1ccc(-c2cccc(-c3nn[nH]n3)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,-4.266137711131783
C[C@@H](c1ccc(-c2cccc(-c3noc(O)n3)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,-5.917036301781514
O=C(O)[C@@H](CC1CCC1)N1C[C@H](CN2CCC(c3cnc4ccc(C(F)(F)F)cn34)CC2)[C@@H](c2cccc(F)c2)C1,-4.494048625358117
COc1ccc([C@@H](O)C[C@H]2c3cc(OC)c(OC)cc3CCN2C)cc1,-5.2455177946077205
COc1cc2c(cc1OC)[C@H](C[C@H](O)c1ccc(Cl)cc1)N(C)CC2,-5.397513932669913
COc1cccc(CN2CCCCCCC2)c1OCc1csc(-c2ccccc2)n1,-4.82986573319568
COc1cccc(CN2CCCCCCC2)c1OCc1csc(-c2ccc(Cl)cc2)n1,-5.75835496000181
Clc1ccc(-c2nc(COc3ccccc3CN3CCCCCCC3)cs2)cc1,-5.973776695176589
Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,-5.493499442364879
Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,-5.822735962974216
Cc1nc2n(c(=O)c1CCN1CCC(C3NOc4cc(F)ccc43)CC1)CCCC2,-5.26380642862347
COc1cccc(C(=O)N2CCCC2)c1OCc1csc(-c2ccc(Cl)cc2)n1,-4.341187297158933
O=C(c1ccccc1OCc1csc(-c2ccc(Cl)cc2)n1)N1CCCC1,-4.200750182923957
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,-4.451803822451262
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,-4.571262290362512
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,-4.731909241671415
CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,-5.33856094547654
